icd_1 ,diagnosis_description
D0512,Intraductal carcinoma in situ of left breast
R928,Other abnormal and inconclusive findings on diagnostic imaging of breast
D0511,Intraductal carcinoma in situ of right breast
N6311,"Unspecified lump in the right breast, upper outer quadrant"
R921,Mammographic calcification found on diagnostic imaging of breast
N6321,"Unspecified lump in the left breast, upper outer quadrant"
N6315,"Unspecified lump in the right breast, overlapping quadrants"
N6320,"Unspecified lump in the left breast, unspecified quadrant"
N6310,"Unspecified lump in the right breast, unspecified quadrant"
R920,Mammographic microcalcification found on diagnostic imaging of breast
N6325,"Unspecified lump in the left breast, overlapping quadrants"
N6322,"Unspecified lump in the left breast, upper inner quadrant"
Z1231,Encounter for screening mammogram for malignant neoplasm of breast
N630,Unspecified lump in unspecified breast
N6312,"Unspecified lump in the right breast, upper inner quadrant"
N6489,Other specified disorders of breast
R922,Inconclusive mammogram
N6313,"Unspecified lump in the right breast, lower outer quadrant"
N6323,"Unspecified lump in the left breast, lower outer quadrant"
Z5111,Encounter for antineoplastic chemotherapy
C7951,Secondary malignant neoplasm of bone
N6314,"Unspecified lump in the right breast, lower inner quadrant"
N6324,"Unspecified lump in the left breast, lower inner quadrant"
