MDC,ICD_1,ICD_description
Cardio,I429,Cardiomyopathy; unspecified
Cardio,I493,Ventricular premature depolarization
Oncology,R590,Localized enlarged lymph nodes
Cardio,N170,Acute kidney failure with tubular necrosis
Pulmonary,J4541,Moderate persistent asthma with (acute) exacerbation
Oncology,C50812,Malignant neoplasm of overlapping sites of left female breast
Cardio,I6389,Other cerebral infarction
GI,K2970,Gastritis; unspecified; without bleeding
Oncology,C9110,Chronic lymphocytic leukemia of B-cell type not having achieved remission
Pulmonary,R079,Chest pain; unspecified
MSK,M19012,Primary osteoarthritis; left shoulder
Oncology,C50919,Malignant neoplasm of unspecified site of unspecified female breast
Pulmonary,G4733,Obstructive sleep apnea (adult) (pediatric)
Cardio,R42,Dizziness and giddiness
GI,R1310,Dysphagia; unspecified
