mdc_strat_cd,oreo_risk_detail,CPT_1,icd10_description
MSK,High,73030,X-RAY EXAM OF SHOULDER
MSK,MSK High - N,72110,X-RAY EXAM L-2 SPINE 4/>VWS
MSK,MSK High - N,82550,ASSAY OF CK (CPK)
MSK,MSK High - MRI,64493,INJ PARAVERT F JNT L/S 1 LEV
MSK,MSK High - B,72052,X-RAY EXAM NECK SPINE 6/>VWS
MSK,MSK High - N,76499,RADIOGRAPHIC PROCEDURE
MSK,MSK High - B,64635,DESTROY LUMB/SAC FACET JNT
MSK,MSK High - MRI,95911,NRV CNDJ TEST 9-10 STUDIES
MSK,MSK High - B,86431,RHEUMATOID FACTOR QUANT
Pulmonary,Medium,94060,EVALUATION OF WHEEZING
MSK,MSK High - MRI,72052,X-RAY EXAM NECK SPINE 6/>VWS
GI,Medium,74176,CT ABD & PELVIS W/O CONTRAST
GI,Medium,76700,US EXAM ABDOM COMPLETE
Oncology,Medium,78816,PET IMAGE W/CT FULL BODY
