cpt_1,proc_type,procedure_group,Description
10080,Skin / Dermatology,001-Incision & drainage of cyst,Incision and drainage of pilonidal cyst; simple
10120,Skin / Dermatology,001-Incision & drainage of cyst,"Incision and removal of foreign body, subcutaneous tissues; simple"
10140,Skin / Dermatology,001-Incision & drainage of cyst,"Incision and drainage of hematoma, seroma or fluid collection"
10160,Skin / Dermatology,001-Incision & drainage of cyst,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
10081,Skin / Dermatology,001-Incision & drainage of cyst,Incision and drainage of pilonidal cyst; complicated
10060,Skin / Dermatology,001-Incision & drainage of cyst,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single"
10061,Skin / Dermatology,001-Incision & drainage of cyst,"Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple"
10040,Skin / Dermatology,002-Acne surgery,"Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)"
G0127,Temp Codes (Professional),003-Nail debridement/avulsion,"Trimming of dystrophic nails, any number"
11719,Skin / Dermatology,003-Nail debridement/avulsion,"Trimming of nondystrophic nails, any number"
11720,Skin / Dermatology,003-Nail debridement/avulsion,Debridement of nail(s) by any method(s); 1 to 5
11721,Skin / Dermatology,003-Nail debridement/avulsion,Debridement of nail(s) by any method(s); 6 or more
11732,Skin / Dermatology,003-Nail debridement/avulsion,"Avulsion of nail plate, partial or complete, simple; each additional nail plate (List separately in addition to code for primary procedure)"
11730,Skin / Dermatology,003-Nail debridement/avulsion,"Avulsion of nail plate, partial or complete, simple; single"
11740,Skin / Dermatology,003-Nail debridement/avulsion,Evacuation of subungual hematoma
11900,Skin / Dermatology,004-Skin lesion injection,"Injection, intralesional; up to and including 7 lesions"
11901,Skin / Dermatology,004-Skin lesion injection,"Injection, intralesional; more than 7 lesions"
0419T,Temporary Code,"005-Destruction, facial lesion","Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); face, head and neck, greater than 50 neurofibromas"
11312,Skin / Dermatology,"005-Destruction, facial lesion","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm"
17280,Skin / Dermatology,"005-Destruction, facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less"
17281,Skin / Dermatology,"005-Destruction, facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm"
17282,Skin / Dermatology,"005-Destruction, facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm"
17283,Skin / Dermatology,"005-Destruction, facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 2.1 to 3.0 cm"
17284,Skin / Dermatology,"005-Destruction, facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 3.1 to 4.0 cm"
17286,Skin / Dermatology,"005-Destruction, facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 4.0 cm"
11313,Skin / Dermatology,"005-Destruction, facial lesion","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 2.0 cm"
11311,Skin / Dermatology,"005-Destruction, facial lesion","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm"
11310,Skin / Dermatology,"005-Destruction, facial lesion","Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less"
0420T,Temporary Code,"006-Destruction, non-facial lesion","Destruction of neurofibroma, extensive (cutaneous, dermal extending into subcutaneous); trunk and extremities, extensive, greater than 100 neurofibromas"
11303,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm"
11305,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
11306,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm"
11308,Skin / Dermatology,"006-Destruction, non-facial lesion","Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, genitalia; lesion diameter over 2.0 cm"
17004,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), premalignant lesions (eg, actinic keratoses), 15 or more lesions"
17100,Skin / Dermatology,"006-Destruction, non-facial lesion",NA
17271,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm"
17274,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm"
17261,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.6 to 1.0 cm"
17262,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 1.1 to 2.0 cm"
17270,Skin / Dermatology,"006-Destruction, non-facial lesion","Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less"
