proc1,description,points,ramp
55700,"Biopsy, prostate; needle or punch, single or multiple, any approach",3,6
76872,"Ultrasound, transrectal;",3,6
72197,"Magnetic resonance (eg, proton) imaging, pelvis; without contrast material(s), followed by contrast material(s) and further sequences",3,6
84153,Prostate specific antigen (PSA); total,1,1
84154,Prostate specific antigen (PSA); free,1,1
G0416,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method",2,2
88344,"Immunohistochemistry or immunocytochemistry, per specimen; each multiplex antibody stain procedure",2,2
76498,"Unlisted magnetic resonance procedure (eg, diagnostic, interventional)",2,2
76377,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; requiring image postprocessing on an independent workstation",3,6
76870,"Ultrasound, scrotum and contents",2,2
76942,"Ultrasonic guidance for needle placement (eg, biopsy, aspiration, injection, localization device), imaging supervision and interpretation",3,6
G0103,Prostate cancer screening; prostate specific antigen test (PSA),1,1
78815,Axumin PET/CT ,3,6
G0102,Digital Rectal Exam ,1,1
