cpt_code,Procedure_description
19303,Masectomy
19307,Masectomy
19305,Masectomy
19303-50,Masectomy
77412,Radiation
77525,Radiation
77761,Radiation
77771,Radiation 
77385,Radiation
77469,Radiation
77295,Radiation
J9000,Chemotherapy
J9180,Chemotherapy
J9267,Chemotherapy
19301,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy);"
19285,Seed Placement 
77295,Radiation
77280,Radiation
77412,Radiation
77290,Radiation
77427,Radiation
77334,Radiation
77336,Radiation
77300,Radiation
77263,Radiation
77417,Radiation
77332,Radiation
77387,Radiation
77307,Radiation
77321,Radiation
96402,Chemotherapy
96417,Chemotherapy
96413,Chemotherapy
96411,Chemotherapy
19342,Insertion or replacement of breast implant on separate day from mastectomy
19340,"Insertion of breast implant on same day of mastectomy (ie, immediate)"
19302,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy); with axillary lymphadenectomy"
88309,"Level VI - Surgical pathology, gross and microscopic examination Bone resection Breast, mastectomy - with regional lymph nodes Colon, segmental resection for tumor Colon, total resection Esophagus, partial/total resection Extremity, disarticulation Fetus, "
J9306,Chemotherapy
J9354,Chemotherapy
J9355,Chemotherapy
J9316,Chemotherapy
J9358,Chemotherapy
J9353 ,Chemotherapy
96409,Chemotherapy
96415,Chemotherapy
96401,Chemotherapy
19357,"Tissue expander placement in breast reconstruction, including subsequent expansion(s)"
19361,Breast reconstruction; with latissimus dorsi flap
19364,"Breast reconstruction; with free flap (eg, fTRAM, DIEP, SIEA, GAP flap)"
38525,
38500,
19367,TRAM FLAP 
19318,Breast Reduction 
19318,Breast lift 
1610,Anesthesia 
