cpt_code,description,Category
55866,"Laparoscopy, surgical prostatectomy, retropubic radical, including nerve sparing, includes robotic assistance, when performed",surgery
55840,"Prostatectomy, retropubic radical, with or without nerve sparing;",surgery
55867,"Laparoscopy, surgical prostatectomy, simple subtotal (including control of postoperative bleeding, vasectomy, meatotomy, urethral calibration and/or dilation, and internal urethrotomy), includes robotic assistance, when performed",surgery
52601,"Transurethral electrosurgical resection of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included)",surgery
38571,"Laparoscopy, surgical; with bilateral total pelvic lymphadenectomy",surgery
54690,"Laparoscopy, surgical; orchiectomy",surgery
55873,Cryosurgical ablation of the prostate (includes ultrasonic guidance and monitoring),surgery
55880,"Ablation of malignant prostate tissue, transrectal, with high intensity-focused ultrasound (HIFU), including ultrasound guidance",surgery
52647,"Laser coagulation of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included if performed)",surgery
52648,"Laser vaporization of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy and transurethral resection of prostate are included if performed)",surgery
55874,"Transperineal placement of biodegradable material, peri-prostatic, single or multiple injection(s), including image guidance, when performed",surgery
53852,Transurethral destruction of prostate tissue; by radiofrequency thermotherapy,surgery
53854,Transurethral destruction of prostate tissue; by radiofrequency generated water vapor thermotherapy,surgery
38570,"Laparoscopy, surgical; with retroperitoneal lymph node sampling (biopsy), single or multiple",surgery
38572,"Laparoscopy, surgical; with bilateral total pelvic lymphadenectomy and peri-aortic lymph node sampling (biopsy), single or multiple",surgery
88309,"Level VI - Surgical pathology, gross and microscopic examination Bone resection Breast, mastectomy - with regional lymph nodes Colon, segmental resection for tumor Colon, total resection Esophagus, partial/total resection Extremity, disarticulation Fetus, with dissection Larynx, partial/total resection - with regional lymph nodes Lung - total/lobe/segment resection Pancreas, total/subtotal resection Prostate, radical resection Small intestine, resection for tumor Soft tissue tumor, extensive resection Stomach - subtotal/total resection for tumor Testis, tumor Tongue/tonsil -resection for tumor Urinary bladder, partial/total resection Uterus, with or without tubes and ovaries, neoplastic Vulva, total/subtotal resection",surgery
51990,"Laparoscopy, surgical; urethral suspension for stress incontinence",surgery
88381,"Microdissection (ie, sample preparation of microscopically identified target); manual",surgery
38571,"Laparoscopy, surgical; with bilateral total pelvic lymphadenectomy",surgery
55810,"Prostatectomy, perineal radical;",surgery
55812,"Prostatectomy, perineal radical; with lymph node biopsy(s) (limited pelvic lymphadenectomy)",surgery
