CPT,description
43191,Esophagoscopy rigid trnso dx
43192,Esophagoscp rig trnso inject
43193,Esophagoscp rig trnso biopsy
43194,Esophagoscp rig trnso rem fb
43195,Esophagoscopy rigid balloon
43196,Esophagoscp guide wire dilat
43197,Esophagoscopy flex dx brush
43198,Esophagosc flex trnsn biopsy
43200,Esophagoscopy flexible brush
43201,Esoph scope w/submucous inj
43202,Esophagoscopy flex biopsy
43204,Esoph scope w/sclerosis inj
43205,Esophagus endoscopy/ligation
43206,Esoph optical endomicroscopy
43210,Egd esophagogastrc fndoplsty
43211,Esophagoscop mucosal resect
43212,Esophagoscop stent placement
43213,Esophagoscopy retro balloon
43214,Esophagosc dilate balloon 30
43215,Esophagoscopy flex remove fb
43216,Esophagoscopy lesion removal
43217,Esophagoscopy snare les remv
43220,Esophagoscopy balloon <30mm
43226,Esoph endoscopy dilation
43227,Esophagoscopy control bleed
43229,Esophagoscopy lesion ablate
43231,Esophagoscop ultrasound exam
43232,Esophagoscopy w/us needle bx
43233,Egd balloon dil esoph30 mm/>
43235,Egd diagnostic brush wash
43236,Uppr gi scope w/submuc inj
43237,Endoscopic us exam esoph
43238,Egd us fine needle bx/aspir
43239,Egd biopsy single/multiple
43240,Egd w/transmural drain cyst
43241,Egd tube/cath insertion
43242,Egd us fine needle bx/aspir
43243,Egd injection varices
43244,Egd varices ligation
43245,Egd dilate stricture
43246,Egd place gastrostomy tube
43247,Egd remove foreign body
43248,Egd guide wire insertion
43249,Esoph egd dilation <30 mm
43250,Egd cautery tumor polyp
43251,Egd remove lesion snare
43252,Egd optical endomicroscopy
43253,Egd us transmural injxn/mark
43254,Egd endo mucosal resection
43255,Egd control bleeding any
43259,Egd us exam duodenum/jejunum
43260,Ercp w/specimen collection
43261,Endo cholangiopancreatograph
43262,Endo cholangiopancreatograph
43263,Ercp sphincter pressure meas
43264,Ercp remove duct calculi
43265,Ercp lithotripsy calculi
43266,Egd endoscopic stent place
43270,Egd lesion ablation
43274,Ercp duct stent placement
43275,Ercp remove forgn body duct
43276,Ercp stent exchange w/dilate
43277,Ercp ea duct/ampulla dilate
43278,Ercp lesion ablate w/dilate
74235,Remove esophagus obstruction
0652T,Egd flx transnasal dx br/wa
0653T,Egd flx transnasal bx 1/mlt
0654T,Egd flx transnasal tube/cath
44388,"COLONOSCOPY THROUGH STOMA; DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
44389,"COLONOSCOPY THROUGH STOMA; WITH BIOPSY, SINGLE OR MULTIPLE"
44390,COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF FOREIGN BODY(S)
44391,"COLONOSCOPY THROUGH STOMA; WITH CONTROL OF BLEEDING, ANY METHOD"
44392,"COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY HOT BIOPSY FORCEPS"
44394,"COLONOSCOPY THROUGH STOMA; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY SNARE TECHNIQUE"
44401,"COLONOSCOPY THROUGH STOMA; WITH ABLATION OF TUMOR(S), POLYP(S), OR OTHER LESION(S) (INCLUDES PRE-AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED)"
44402,"COLONOSCOPY THROUGH STOMA; WITH ENDOSCOPIC STENT PLACEMENT (INCLUDING PRE- AND POST-DILATION AND GUIDE WIRE PASSAGE, WHEN PERFORMED)"
44403,COLONOSCOPY THROUGH STOMA; WITH ENDOSCOPIC MUCOSAL RESECTION
44404,"COLONOSCOPY THROUGH STOMA; WITH DIRECTED SUBMUCOSAL INJECTION(S), ANY SUBSTANCE"
44405,COLONOSCOPY THROUGH STOMA; WITH TRANSENDOSCOPIC BALLOON DILATION
44406,"COLONOSCOPY THROUGH STOMA; WITH ENDOSCOPIC ULTRASOUND EXAMINATION, LIMITED TO THE SIGMOID, DESCENDING, TRANSVERSE, OR ASCENDING COLON AND CECUM AND ADJACENT STRUCTURES"
44407,"COLONOSCOPY THROUGH STOMA; WITH TRANSENDOSCOPIC ULTRASOUND GUIDED INTRAMURAL OR TRANSMURAL FINE NEEDLE ASPIRATION/BIOPSY(S), INCLUDES ENDOSCOPIC ULTRASOUND EXAMINATION LIMITED TO THE SIGMOID, DESCENDING, TRANSVERSE, OR ASCENDING COLON AND CECUM AND ADJACENT STRUCTURES"
44408,"COLONOSCOPY THROUGH STOMA; WITH DECOMPRESSION (FOR PATHOLOGIC DISTENTION) (EG, VOLVULUS, MEGACOLON), INCLUDING PLACEMENT OF DECOMPRESSION TUBE, WHEN PERFORMED"
45330,"SIGMOIDOSCOPY, FLEXIBLE; DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
45331,"SIGMOIDOSCOPY, FLEXIBLE; WITH BIOPSY, SINGLE OR MULTIPLE"
45332,"SIGMOIDOSCOPY, FLEXIBLE; WITH REMOVAL OF FOREIGN BODY(S)"
45333,"SIGMOIDOSCOPY, FLEXIBLE; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY HOT BIOPSY FORCEPS"
45334,"SIGMOIDOSCOPY, FLEXIBLE; WITH CONTROL OF BLEEDING, ANY METHOD"
45335,"SIGMOIDOSCOPY, FLEXIBLE; WITH DIRECTED SUBMUCOSAL INJECTION(S), ANY SUBSTANCE"
45337,"SIGMOIDOSCOPY, FLEXIBLE; WITH DECOMPRESSION (FOR PATHOLOGIC DISTENTION) (EG, VOLVULUS, MEGACOLON), INCLUDING PLACEMENT OF DECOMPRESSION TUBE, WHEN PERFORMED"
45338,"SIGMOIDOSCOPY, FLEXIBLE; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY SNARE TECHNIQUE"
45340,"SIGMOIDOSCOPY, FLEXIBLE; WITH TRANSENDOSCOPIC BALLOON DILATION"
45341,"SIGMOIDOSCOPY, FLEXIBLE; WITH ENDOSCOPIC ULTRASOUND EXAMINATION"
45342,"SIGMOIDOSCOPY, FLEXIBLE; WITH TRANSENDOSCOPIC ULTRASOUND GUIDED INTRAMURAL OR TRANSMURAL FINE NEEDLE ASPIRATION/BIOPSY(S)"
45378,"COLONOSCOPY, FLEXIBLE; DIAGNOSTIC, INCLUDING COLLECTION OF SPECIMEN(S) BY BRUSHING OR WASHING, WHEN PERFORMED (SEPARATE PROCEDURE)"
45379,"COLONOSCOPY, FLEXIBLE; WITH REMOVAL OF FOREIGN BODY(S)"
45380,"COLONOSCOPY, FLEXIBLE; WITH BIOPSY, SINGLE OR MULTIPLE"
45381,"COLONOSCOPY, FLEXIBLE; WITH DIRECTED SUBMUCOSAL INJECTION(S), ANY SUBSTANCE"
45382,"COLONOSCOPY, FLEXIBLE; WITH CONTROL OF BLEEDING, ANY METHOD"
45384,"COLONOSCOPY, FLEXIBLE; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY HOT BIOPSY FORCEPS"
45385,"COLONOSCOPY, FLEXIBLE; WITH REMOVAL OF TUMOR(S), POLYP(S), OR OTHER LESION(S) BY SNARE TECHNIQUE"
45386,"COLONOSCOPY, FLEXIBLE; WITH TRANSENDOSCOPIC BALLOON DILATION"
45391,"COLONOSCOPY, FLEXIBLE; WITH ENDOSCOPIC ULTRASOUND EXAMINATION LIMITED TO THE RECTUM, SIGMOID, DESCENDING, TRANSVERSE, OR ASCENDING COLON AND CECUM, AND ADJACENT STRUCTURES"
45392,"COLONOSCOPY, FLEXIBLE; WITH TRANSENDOSCOPIC ULTRASOUND GUIDED INTRAMURAL OR TRANSMURAL FINE NEEDLE ASPIRATION/BIOPSY(S), INCLUDES ENDOSCOPIC ULTRASOUND EXAMINATION LIMITED TO THE RECTUM, SIGMOID, DESCENDING, TRANSVERSE, OR ASCENDING COLON AND CECUM, AND ADJACENT STRUCTURES"
