wh_cpt,urology_cpt,msk_cpt,mh_cpt,gi_cpt,ento_cpt,endo_cpt,cardio_cpt
56440,50010,20150,54000,43020,69110,60200,33050
56441,50045,20700,54001,43030,69120,60210,33120
56442,50060,20701,54060,43045,69140,60212,33130
56501,50065,20702,54065,43100,69145,60220,33202
56515,50070,20703,54110,43101,69150,60225,33203
56620,50075,20704,54111,43107,69155,60240,33206
56625,50080,20705,54112,43108,69300,60252,33207
56630,50081,20802,54150,43112,69310,60254,33208
56631,50100,20805,54162,43113,69320,60260,33210
56632,50120,20808,54163,43116,69420,60270,33211
56633,50130,20816,54164,43117,69421,60271,33212
56634,50135,20822,54300,43118,69424,60280,33213
56637,50205,20824,54304,43121,69433,60281,33214
56640,50220,20827,54308,43122,69436,60500,33215
56700,50225,20838,54312,43123,69450,60502,33216
56740,50230,20900,54316,43124,69501,60505,33217
56800,50234,20902,54318,43130,69502,60512,33218
56805,50236,20910,54322,43135,69505,60520,33220
56810,50240,20912,54324,43180,69511,60521,33221
56820,50250,20920,54326,43191,69530,60522,33222
56821,50280,20922,54328,43192,69535,60540,33223
57000,50290,20924,54332,43193,69540,60545,33224
57106,50300,20926,54336,43195,69550,60600,33225
57107,50320,20930,54340,43196,69552,60605,33226
57109,50323,20931,54344,43197,69554,60650,33227
57110,50325,20932,54348,43198,69601,,33228
57111,50327,20933,54352,43200,69602,,33229
57112,50328,20934,54360,43201,69603,,33230
57120,50329,20936,54380,43202,69604,,33231
57130,50340,20937,54385,43204,69605,,33233
57135,50360,20938,54390,43205,69610,,33234
57150,50365,20955,54400,43206,69620,,33235
57155,50370,20956,54401,43210,69631,,33236
57200,50380,20957,54405,43211,69632,,33237
57210,50382,20962,54406,43212,69633,,33238
57220,50384,20969,54408,43213,69635,,33240
57230,50385,20970,54410,43214,69636,,33241
57240,50386,20972,54411,43216,69637,,33243
57250,50387,20973,54415,43217,69641,,33244
57260,50389,20975,54416,43220,69642,,33249
57265,50400,21010,54417,43226,69643,,33261
57268,50405,21011,54420,43229,69644,,33262
57270,50540,21012,54430,43231,69645,,33263
57280,50541,21013,54435,43232,69646,,33264
57282,50542,21014,54550,43233,69650,,33270
57283,50543,21015,54560,43235,69660,,33271
57284,50544,21016,54620,43236,69661,,33272
57285,50545,21025,54660,43237,69662,,33273
57287,50546,21026,54699,43238,69666,,33274
57288,50549,21029,54830,43239,69667,,33275
57289,50551,21030,54840,43241,69670,,33285
57291,50553,21031,54860,43242,69676,,33286
57292,50555,21032,54861,43243,69700,,33289
57295,50557,21034,54865,43244,69710,,33361
57296,50561,21040,54900,43245,69711,,33362
57311,50562,21044,54901,43246,69714,,33363
57335,50570,21045,55040,43248,69715,,33364
57423,50572,21046,55041,43249,69717,,33365
57425,50574,21047,55060,43250,69718,,33366
57426,50575,21048,55150,43251,69799,,33367
57452,50576,21049,55175,43252,69801,,33368
57454,50580,21050,55180,43253,69805,,33369
57455,50590,21060,55200,43254,69806,,33390
57456,50600,21070,55250,43257,69905,,33391
57460,50610,21076,55300,43259,69910,,33404
57461,50620,21077,55400,43260,69915,,33405
57505,50630,21079,55500,43261,69930,,33406
57520,50650,21080,55520,43262,69949,,33410
57522,50660,21081,55530,43263,69950,,33411
57530,50693,21082,55535,43264,69960,,33412
57531,50694,21083,55540,43265,69970,,33413
57540,50695,21084,55550,43266,69979,,33414
57545,50700,21085,55559,43270,,,33415
57550,50705,21086,55600,43273,,,33416
57555,50715,21087,55605,43274,,,33417
57556,50722,21088,55650,43276,,,33418
57558,50725,21089,55680,43277,,,33419
57700,50727,21120,55705,43278,,,33420
57720,50728,21121,55801,43279,,,33422
58110,50740,21122,55810,43280,,,33425
58120,50750,21123,55812,43281,,,33426
58140,50760,21125,55815,43282,,,33427
58145,50770,21127,55821,43283,,,33430
58146,50780,21137,55831,43284,,,33440
58150,50782,21138,55840,43285,,,33460
58152,50783,21139,55842,43286,,,33463
58180,50785,21141,55845,43287,,,33464
58200,50800,21142,55860,43288,,,33465
58210,50810,21143,55862,43300,,,33468
58240,50815,21145,55865,43313,,,33470
58260,50820,21146,55866,43314,,,33471
58262,50825,21147,55873,43320,,,33474
58263,50830,21150,55874,43325,,,33475
58267,50840,21151,55875,43327,,,33476
58270,50845,21154,55876,43328,,,33477
58275,50860,21155,55899,43330,,,33478
58280,50900,21159,55970,43331,,,33508
58285,50940,21160,55980,43332,,,33548
58290,50945,21172,,43333,,,33606
58291,50947,21175,,43334,,,33608
58292,50948,21179,,43335,,,33610
58293,50949,21180,,43336,,,33611
58294,50951,21181,,43337,,,33612
58345,50953,21182,,43338,,,33615
58350,50955,21183,,43340,,,33617
58400,50957,21184,,43341,,,33619
58410,50961,21188,,43351,,,33620
58520,50970,21193,,43352,,,33621
58540,50972,21194,,43360,,,33645
58541,50974,21195,,43361,,,33670
58542,50976,21196,,43400,,,33690
58543,50980,21198,,43401,,,33726
58544,51020,21199,,43405,,,33735
58545,51030,21206,,43450,,,33736
58546,51050,21208,,43453,,,33737
58548,51060,21209,,43460,,,33750
58550,51065,21210,,43496,,,33755
58552,51500,21215,,43502,,,33762
58553,51520,21230,,43510,,,33764
58554,51525,21235,,43520,,,33766
58558,51530,21240,,43610,,,33767
58559,51535,21242,,43611,,,33768
58560,51550,21243,,43620,,,33782
58561,51555,21244,,43621,,,33783
58563,51565,21245,,43622,,,33786
58565,51570,21246,,43631,,,33788
58570,51575,21247,,43632,,,33800
58571,51580,21248,,43633,,,33880
58572,51585,21249,,43634,,,33881
58573,51590,21255,,43635,,,33883
58575,51595,21256,,43640,,,33884
58578,51596,21260,,43641,,,33886
58579,51597,21261,,43644,,,33889
58600,51800,21263,,43645,,,33924
58605,51820,21267,,43647,,,33925
58611,51840,21268,,43648,,,33926
58615,51841,21270,,43651,,,33927
58660,51845,21275,,43652,,,33928
58661,51900,21280,,43653,,,33929
58662,51940,21282,,43752,,,33933
58670,51960,21295,,43753,,,33935
58671,51980,21296,,43754,,,33944
58672,51990,21299,,43755,,,33945
58673,51992,21497,,43756,,,33967
58674,51999,21552,,43757,,,33968
58679,52000,21554,,43761,,,33970
58700,52001,21555,,43762,,,33971
58720,52005,21556,,43763,,,33973
58740,52007,21557,,43770,,,33974
58750,52010,21558,,43771,,,33975
58752,52204,21600,,43772,,,33976
58760,52214,21601,,43773,,,33977
58770,52224,21602,,43774,,,33978
58825,52234,21603,,43775,,,33979
58920,52235,21610,,43800,,,33980
58925,52240,21615,,43810,,,33981
58940,52250,21616,,43820,,,33982
58943,52260,21620,,43825,,,33983
58950,52265,21630,,43830,,,33990
58951,52270,21632,,43831,,,33991
58952,52275,21685,,43832,,,33992
58953,52276,21700,,43840,,,33993
58954,52277,21705,,43842,,,34501
58956,52281,21720,,43843,,,34502
58957,52282,21725,,43845,,,34510
58958,52283,21740,,43846,,,34530
58960,52285,21742,,43847,,,34709
58970,52287,21743,,43848,,,34710
58974,52290,21750,,43850,,,34711
58976,52300,21930,,43855,,,34712
58999,52301,21931,,43860,,,34714
59012,52305,21932,,43865,,,34715
59100,52310,21933,,43881,,,34716
,52315,21935,,43882,,,34808
,52317,21936,,43886,,,34812
,52318,22100,,43887,,,34813
,52320,22101,,43888,,,34820
,52325,22102,,44005,,,34830
,52330,22103,,44015,,,34831
,52332,22110,,44021,,,34832
,52334,22112,,44050,,,34833
,52341,22114,,44055,,,34834
,52342,22116,,44100,,,34839
,52343,22206,,44110,,,34845
,52344,22207,,44111,,,34846
,52345,22208,,44120,,,34847
,52346,22210,,44121,,,34848
,52351,22212,,44125,,,35390
,52352,22214,,44126,,,35400
,52353,22216,,44127,,,35500
,52354,22220,,44128,,,35572
,52355,22222,,44130,,,35691
,52356,22224,,44132,,,35693
,52400,22226,,44133,,,35694
,52402,22510,,44135,,,35695
,52441,22511,,44136,,,35697
,52442,22512,,44137,,,35700
,52450,22513,,44139,,,35721
,52500,22514,,44140,,,35741
,52601,22515,,44141,,,35761
,52630,22526,,44143,,,36260
,52640,22527,,44144,,,36261
,53000,22532,,44145,,,36262
,53010,22533,,44146,,,36818
,53020,22534,,44147,,,36819
,53025,22548,,44150,,,36820
,53210,22551,,44151,,,36821
,53215,22552,,44155,,,36835
,53220,22554,,44156,,,36838
,53230,22556,,44157,,,37140
,53235,22558,,44158,,,37145
,53240,22585,,44160,,,37160
,53250,22586,,44180,,,37180
,53260,22590,,44186,,,37181
,53265,22595,,44187,,,37182
,53270,22600,,44188,,,37183
,53275,22610,,44202,,,37191
,53400,22612,,44203,,,37192
,53405,22614,,44204,,,37193
,53410,22630,,44205,,,37217
,53415,22632,,44206,,,37218
,53420,22633,,44207,,,37220
,53425,22634,,44208,,,37221
,53430,22800,,44210,,,37222
,53431,22802,,44211,,,37223
,53440,22804,,44212,,,37224
,53442,22808,,44213,,,37225
,53444,22810,,44227,,,37226
,53445,22812,,44238,,,37227
,53446,22818,,44300,,,37228
,53447,22819,,44310,,,37229
,53448,22830,,44312,,,37230
,53449,22840,,44314,,,37231
,53450,22841,,44316,,,37232
,53460,22842,,44320,,,37233
,53500,22843,,44322,,,37234
,53502,22844,,44340,,,37235
,53505,22845,,44345,,,37236
,53510,22846,,44346,,,37237
,53515,22847,,44360,,,37238
,53520,22848,,44361,,,37239
,53855,22849,,44364,,,37241
,53860,22850,,44365,,,37242
,53899,22852,,44369,,,37243
,,22853,,44370,,,37244
,,22854,,44372,,,37500
,,22855,,44373,,,37700
,,22856,,44376,,,37718
,,22857,,44377,,,37722
,,22858,,44379,,,37735
,,22859,,44380,,,37760
,,22861,,44381,,,37761
,,22862,,44382,,,37765
,,22864,,44384,,,37766
,,22865,,44385,,,37780
,,22867,,44386,,,37785
,,22868,,44388,,,
,,22900,,44389,,,
,,22901,,44392,,,
,,22902,,44394,,,
,,22903,,44401,,,
,,22904,,44402,,,
,,22905,,44403,,,
,,23000,,44404,,,
,,23020,,44405,,,
,,23040,,44406,,,
,,23044,,44407,,,
,,23071,,44408,,,
,,23073,,44500,,,
,,23075,,44602,,,
,,23076,,44603,,,
,,23077,,44604,,,
,,23078,,44605,,,
,,23100,,44615,,,
,,23101,,44620,,,
,,23105,,44625,,,
,,23106,,44626,,,
,,23107,,44680,,,
,,23120,,44700,,,
,,23125,,44701,,,
,,23130,,44705,,,
,,23140,,44715,,,
,,23145,,44720,,,
,,23146,,44721,,,
,,23150,,44800,,,
,,23155,,44820,,,
,,23156,,44850,,,
,,23170,,45108,,,
,,23172,,45110,,,
,,23174,,45111,,,
,,23180,,45112,,,
,,23182,,45113,,,
,,23184,,45114,,,
,,23190,,45116,,,
,,23195,,45119,,,
,,23200,,45120,,,
,,23210,,45121,,,
,,23220,,45123,,,
,,23330,,45126,,,
,,23333,,45130,,,
,,23334,,45135,,,
,,23335,,45136,,,
,,23395,,45150,,,
,,23397,,45160,,,
,,23400,,45171,,,
,,23405,,45172,,,
,,23406,,45190,,,
,,23410,,45300,,,
,,23412,,45303,,,
,,23415,,45305,,,
,,23420,,45308,,,
,,23430,,45309,,,
,,23440,,45315,,,
,,23450,,45320,,,
,,23455,,45321,,,
,,23460,,45327,,,
,,23462,,45330,,,
,,23465,,45331,,,
,,23466,,45333,,,
,,23470,,45335,,,
,,23472,,45337,,,
,,23473,,45338,,,
,,23474,,45340,,,
,,23480,,45341,,,
,,23485,,45342,,,
,,23800,,45346,,,
,,23802,,45347,,,
,,23921,,45349,,,
,,24000,,45350,,,
,,24006,,45378,,,
,,24071,,45380,,,
,,24073,,45381,,,
,,24075,,45384,,,
,,24076,,45385,,,
,,24077,,45386,,,
,,24079,,45388,,,
,,24100,,45389,,,
,,24101,,45390,,,
,,24102,,45391,,,
,,24105,,45392,,,
,,24110,,45393,,,
,,24115,,45395,,,
,,24116,,45397,,,
,,24120,,45398,,,
,,24125,,45400,,,
,,24126,,45402,,,
,,24130,,45500,,,
,,24134,,45505,,,
,,24136,,45520,,,
,,24138,,45540,,,
,,24140,,45541,,,
,,24145,,45550,,,
,,24147,,45560,,,
,,24149,,45900,,,
,,24150,,46020,,,
,,24152,,46030,,,
,,24155,,46070,,,
,,24160,,46080,,,
,,24164,,46083,,,
,,24301,,46200,,,
,,24305,,46220,,,
,,24310,,46250,,,
,,24320,,46255,,,
,,24330,,46257,,,
,,24331,,46258,,,
,,24332,,46260,,,
,,24340,,46261,,,
,,24341,,46262,,,
,,24342,,46320,,,
,,24343,,46611,,,
,,24344,,46612,,,
,,24345,,46700,,,
,,24346,,46705,,,
,,24357,,46744,,,
,,24360,,46746,,,
,,24361,,46748,,,
,,24362,,46750,,,
,,24363,,46751,,,
,,24365,,46753,,,
,,24366,,46754,,,
,,24370,,46760,,,
,,24371,,46761,,,
,,24400,,46924,,,
,,24410,,46940,,,
,,24420,,46942,,,
,,24430,,46945,,,
,,24435,,46946,,,
,,24470,,46947,,,
,,24495,,46948,,,
,,24800,,47001,,,
,,24802,,47120,,,
,,24935,,47122,,,
,,24940,,47125,,,
,,24999,,47130,,,
,,25000,,47133,,,
,,25001,,47135,,,
,,25020,,47140,,,
,,25023,,47141,,,
,,25024,,47142,,,
,,25025,,47143,,,
,,25040,,47144,,,
,,25071,,47145,,,
,,25073,,47146,,,
,,25075,,47147,,,
,,25076,,47300,,,
,,25077,,47370,,,
,,25078,,47371,,,
,,25085,,47380,,,
,,25100,,47381,,,
,,25101,,47382,,,
,,25105,,47383,,,
,,25107,,47400,,,
,,25109,,47420,,,
,,25110,,47425,,,
,,25111,,47460,,,
,,25112,,47480,,,
,,25115,,47490,,,
,,25116,,47538,,,
,,25118,,47539,,,
,,25119,,47540,,,
,,25120,,47541,,,
,,25125,,47542,,,
,,25126,,47543,,,
,,25130,,47544,,,
,,25135,,47550,,,
,,25136,,47552,,,
,,25145,,47553,,,
,,25150,,47554,,,
,,25151,,47555,,,
,,25170,,47556,,,
,,25210,,47562,,,
,,25215,,47563,,,
,,25240,,47564,,,
,,25251,,47570,,,
,,25260,,47600,,,
,,25263,,47605,,,
,,25265,,47610,,,
,,25270,,47612,,,
,,25272,,47620,,,
,,25274,,47700,,,
,,25275,,47701,,,
,,25280,,47711,,,
,,25290,,47712,,,
,,25295,,47715,,,
,,25300,,47720,,,
,,25301,,47721,,,
,,25310,,47740,,,
,,25312,,47741,,,
,,25315,,47760,,,
,,25316,,47765,,,
,,25320,,47780,,,
,,25332,,47785,,,
,,25335,,47800,,,
,,25337,,47801,,,
,,25350,,47802,,,
,,25355,,48020,,,
,,25360,,48105,,,
,,25365,,48120,,,
,,25370,,48140,,,
,,25375,,48145,,,
,,25390,,48146,,,
,,25391,,48148,,,
,,25392,,48150,,,
,,25393,,48152,,,
,,25394,,48153,,,
,,25400,,48154,,,
,,25405,,48155,,,
,,25415,,48160,,,
,,25420,,48500,,,
,,25425,,48520,,,
,,25426,,48540,,,
,,25430,,48547,,,
,,25431,,48548,,,
,,25440,,48550,,,
,,25441,,48551,,,
,,25442,,48552,,,
,,25443,,48554,,,
,,25444,,48556,,,
,,25445,,49084,,,
,,25446,,49185,,,
,,25447,,49203,,,
,,25449,,49204,,,
,,25450,,49205,,,
,,25455,,49215,,,
,,25800,,49220,,,
,,25805,,49250,,,
,,25810,,49255,,,
,,25820,,49320,,,
,,25825,,49321,,,
,,25830,,49322,,,
,,25999,,49323,,,
,,26034,,49326,,,
,,26035,,49327,,,
,,26037,,49428,,,
,,26040,,49429,,,
,,26045,,49441,,,
,,26055,,49446,,,
,,26060,,49491,,,
,,26100,,49492,,,
,,26105,,49495,,,
,,26110,,49496,,,
,,26111,,49500,,,
,,26113,,49501,,,
,,26115,,49505,,,
,,26116,,49507,,,
,,26117,,49520,,,
,,26118,,49521,,,
,,26121,,49525,,,
,,26123,,49540,,,
,,26125,,49550,,,
,,26130,,49553,,,
,,26135,,49555,,,
,,26140,,49557,,,
,,26145,,49560,,,
,,26160,,49561,,,
,,26170,,49565,,,
,,26180,,49566,,,
,,26185,,49568,,,
,,26200,,49570,,,
,,26205,,49572,,,
,,26210,,49580,,,
,,26215,,49582,,,
,,26230,,49585,,,
,,26235,,49587,,,
,,26236,,49590,,,
,,26250,,49600,,,
,,26260,,49605,,,
,,26262,,49606,,,
,,26350,,49610,,,
,,26352,,49611,,,
,,26356,,49650,,,
,,26357,,49651,,,
,,26358,,49652,,,
,,26370,,49653,,,
,,26372,,49654,,,
,,26373,,49655,,,
,,26390,,49656,,,
,,26392,,49657,,,
,,26410,,49659,,,
,,26412,,49904,,,
,,26415,,49905,,,
,,26416,,49906,,,
,,26418,,,,,
,,26420,,,,,
,,26426,,,,,
,,26428,,,,,
,,26432,,,,,
,,26433,,,,,
,,26434,,,,,
,,26437,,,,,
,,26440,,,,,
,,26442,,,,,
,,26445,,,,,
,,26449,,,,,
,,26450,,,,,
,,26455,,,,,
,,26460,,,,,
,,26471,,,,,
,,26474,,,,,
,,26476,,,,,
,,26477,,,,,
,,26478,,,,,
,,26479,,,,,
,,26480,,,,,
,,26483,,,,,
,,26485,,,,,
,,26489,,,,,
,,26490,,,,,
,,26492,,,,,
,,26494,,,,,
,,26496,,,,,
,,26497,,,,,
,,26498,,,,,
,,26499,,,,,
,,26500,,,,,
,,26502,,,,,
,,26508,,,,,
,,26510,,,,,
,,26516,,,,,
,,26517,,,,,
,,26518,,,,,
,,26520,,,,,
,,26525,,,,,
,,26530,,,,,
,,26531,,,,,
,,26535,,,,,
,,26536,,,,,
,,26540,,,,,
,,26541,,,,,
,,26542,,,,,
,,26545,,,,,
,,26546,,,,,
,,26548,,,,,
,,26550,,,,,
,,26551,,,,,
,,26553,,,,,
,,26554,,,,,
,,26555,,,,,
,,26556,,,,,
,,26560,,,,,
,,26561,,,,,
,,26562,,,,,
,,26565,,,,,
,,26567,,,,,
,,26568,,,,,
,,26580,,,,,
,,26587,,,,,
,,26590,,,,,
,,26591,,,,,
,,26593,,,,,
,,26596,,,,,
,,26820,,,,,
,,26841,,,,,
,,26842,,,,,
,,26843,,,,,
,,26844,,,,,
,,26850,,,,,
,,26852,,,,,
,,26860,,,,,
,,26861,,,,,
,,26862,,,,,
,,26863,,,,,
,,26989,,,,,
,,27000,,,,,
,,27001,,,,,
,,27003,,,,,
,,27005,,,,,
,,27006,,,,,
,,27025,,,,,
,,27027,,,,,
,,27030,,,,,
,,27033,,,,,
,,27035,,,,,
,,27036,,,,,
,,27043,,,,,
,,27045,,,,,
,,27047,,,,,
,,27048,,,,,
,,27049,,,,,
,,27050,,,,,
,,27052,,,,,
,,27054,,,,,
,,27057,,,,,
,,27059,,,,,
,,27060,,,,,
,,27062,,,,,
,,27065,,,,,
,,27066,,,,,
,,27067,,,,,
,,27070,,,,,
,,27071,,,,,
,,27075,,,,,
,,27076,,,,,
,,27077,,,,,
,,27078,,,,,
,,27080,,,,,
,,27096,,,,,
,,27097,,,,,
,,27098,,,,,
,,27100,,,,,
,,27105,,,,,
,,27110,,,,,
,,27111,,,,,
,,27120,,,,,
,,27122,,,,,
,,27125,,,,,
,,27130,,,,,
,,27132,,,,,
,,27134,,,,,
,,27137,,,,,
,,27138,,,,,
,,27140,,,,,
,,27146,,,,,
,,27147,,,,,
,,27151,,,,,
,,27156,,,,,
,,27158,,,,,
,,27161,,,,,
,,27165,,,,,
,,27170,,,,,
,,27175,,,,,
,,27176,,,,,
,,27185,,,,,
,,27279,,,,,
,,27280,,,,,
,,27282,,,,,
,,27284,,,,,
,,27286,,,,,
,,27299,,,,,
,,27305,,,,,
,,27306,,,,,
,,27307,,,,,
,,27325,,,,,
,,27326,,,,,
,,27327,,,,,
,,27328,,,,,
,,27329,,,,,
,,27330,,,,,
,,27331,,,,,
,,27332,,,,,
,,27333,,,,,
,,27334,,,,,
,,27335,,,,,
,,27337,,,,,
,,27339,,,,,
,,27340,,,,,
,,27345,,,,,
,,27347,,,,,
,,27350,,,,,
,,27355,,,,,
,,27356,,,,,
,,27357,,,,,
,,27358,,,,,
,,27360,,,,,
,,27364,,,,,
,,27365,,,,,
,,27369,,,,,
,,27380,,,,,
,,27381,,,,,
,,27385,,,,,
,,27386,,,,,
,,27390,,,,,
,,27391,,,,,
,,27392,,,,,
,,27393,,,,,
,,27394,,,,,
,,27395,,,,,
,,27396,,,,,
,,27397,,,,,
,,27400,,,,,
,,27403,,,,,
,,27405,,,,,
,,27407,,,,,
,,27409,,,,,
,,27412,,,,,
,,27415,,,,,
,,27416,,,,,
,,27418,,,,,
,,27420,,,,,
,,27422,,,,,
,,27424,,,,,
,,27425,,,,,
,,27427,,,,,
,,27428,,,,,
,,27429,,,,,
,,27430,,,,,
,,27435,,,,,
,,27437,,,,,
,,27438,,,,,
,,27440,,,,,
,,27441,,,,,
,,27442,,,,,
,,27443,,,,,
,,27445,,,,,
,,27446,,,,,
,,27447,,,,,
,,27448,,,,,
,,27450,,,,,
,,27454,,,,,
,,27455,,,,,
,,27457,,,,,
,,27465,,,,,
,,27466,,,,,
,,27468,,,,,
,,27470,,,,,
,,27472,,,,,
,,27475,,,,,
,,27477,,,,,
,,27479,,,,,
,,27485,,,,,
,,27486,,,,,
,,27487,,,,,
,,27496,,,,,
,,27497,,,,,
,,27498,,,,,
,,27499,,,,,
,,27580,,,,,
,,27599,,,,,
,,27600,,,,,
,,27601,,,,,
,,27602,,,,,
,,27605,,,,,
,,27606,,,,,
,,27607,,,,,
,,27612,,,,,
,,27615,,,,,
,,27616,,,,,
,,27618,,,,,
,,27619,,,,,
,,27620,,,,,
,,27625,,,,,
,,27626,,,,,
,,27630,,,,,
,,27632,,,,,
,,27634,,,,,
,,27635,,,,,
,,27637,,,,,
,,27638,,,,,
,,27640,,,,,
