cpt_code,procedure_description,points,ramp
76642,"Ultrasound, breast, unilateral, real time with image documentation, including axilla when performed; limited",3,3
77065,"Diagnostic mammography, including computer-aided detection (CAD) when performed; unilateral",3,3
88360,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; manual",3,6
77066,"Diagnostic mammography, including computer-aided detection (CAD) when performed; bilateral",3,6
G0279,"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to 77065 or 77066)",3,6
77061,Diagnostic digital breast tomosynthesis; unilateral,3,6
19083,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance",3,6
19081,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance",3,6
77062,Diagnostic digital breast tomosynthesis; bilateral,3,6
88361,"Morphometric analysis, tumor immunohistochemistry (eg, Her-2/neu, estrogen receptor/progesterone receptor), quantitative or semiquantitative, per specimen, each single antibody stain procedure; using computer-assisted technology",2,2
A4648,"Tissue marker, implantable, any type, each",2,2
76641,"Ultrasound, breast, unilateral, real time with image documentation, including axilla when performed; complete",2,2
77049,"Magnetic resonance imaging, breast, without and with contrast material(s), including computer-aided detection (CAD real-time lesion detection, characterization and pharmacokinetic analysis), when performed; bilateral",1,2
